date	STCK
10/01/2020 00:00	219.66
13/01/2020 00:00	219.597
14/01/2020 00:00	221.86
15/01/2020 00:00	220.61
16/01/2020 00:00	221.77
17/01/2020 00:00	222.14
21/01/2020 00:00	222.28
22/01/2020 00:00	222.4
23/01/2020 00:00	220.75
24/01/2020 00:00	220.8
27/01/2020 00:00	213
28/01/2020 00:00	216.14
29/01/2020 00:00	221.55
30/01/2020 00:00	206.42
31/01/2020 00:00	208.28
03/02/2020 00:00	203.39
04/02/2020 00:00	206.5
05/02/2020 00:00	212.5
06/02/2020 00:00	210.47
07/02/2020 00:00	210.3
10/02/2020 00:00	213.06
11/02/2020 00:00	210.274
12/02/2020 00:00	208
13/02/2020 00:00	209.69
14/02/2020 00:00	214.04
18/02/2020 00:00	213.55
19/02/2020 00:00	217.99
20/02/2020 00:00	214.58
21/02/2020 00:00	210.18
24/02/2020 00:00	201.8
25/02/2020 00:00	202.17
26/02/2020 00:00	197.19
27/02/2020 00:00	191.604
28/02/2020 00:00	182.7
02/03/2020 00:00	194.03
03/03/2020 00:00	196.3
04/03/2020 00:00	191.76
05/03/2020 00:00	186.97
06/03/2020 00:00	178.42
09/03/2020 00:00	169.99
10/03/2020 00:00	174.76
11/03/2020 00:00	174.01
12/03/2020 00:00	159.95
13/03/2020 00:00	163.12
16/03/2020 00:00	149
17/03/2020 00:00	150.8
18/03/2020 00:00	140
19/03/2020 00:00	146.62
20/03/2020 00:00	155.75
23/03/2020 00:00	149.09
24/03/2020 00:00	154.94
25/03/2020 00:00	158.67
26/03/2020 00:00	158.63
27/03/2020 00:00	156.79
30/03/2020 00:00	159.18
31/03/2020 00:00	165.5
01/04/2020 00:00	161.6
02/04/2020 00:00	158.68
03/04/2020 00:00	154.18
06/04/2020 00:00	160.6
07/04/2020 00:00	171.89
08/04/2020 00:00	171.25
09/04/2020 00:00	175.16
13/04/2020 00:00	173.65
14/04/2020 00:00	178.977
15/04/2020 00:00	175.187
16/04/2020 00:00	176.25
17/04/2020 00:00	179.7
20/04/2020 00:00	177.51
21/04/2020 00:00	170.8
22/04/2020 00:00	178.56
23/04/2020 00:00	184.32
24/04/2020 00:00	183.23
27/04/2020 00:00	192.65
28/04/2020 00:00	188.76
29/04/2020 00:00	191
30/04/2020 00:00	206.74
01/05/2020 00:00	201.5
04/05/2020 00:00	200
05/05/2020 00:00	207.1
06/05/2020 00:00	208
07/05/2020 00:00	211.16
08/05/2020 00:00	212
11/05/2020 00:00	210.49
12/05/2020 00:00	213.1
13/05/2020 00:00	209.23
14/05/2020 00:00	202.56
15/05/2020 00:00	205.37
18/05/2020 00:00	211.97
19/05/2020 00:00	213
20/05/2020 00:00	223.39
21/05/2020 00:00	234.74
22/05/2020 00:00	231.64
26/05/2020 00:00	240
27/05/2020 00:00	229.11
28/05/2020 00:00	224.3
29/05/2020 00:00	225.21
01/06/2020 00:00	224.39
02/06/2020 00:00	232.72
03/06/2020 00:00	232.39
04/06/2020 00:00	229.56
05/06/2020 00:00	226.57
08/06/2020 00:00	23.02
09/06/2020 00:00	238.67
10/06/2020 00:00	240.96
11/06/2020 00:00	229.94
12/06/2020 00:00	229.82
15/06/2020 00:00	225.11
16/06/2020 00:00	237.14
17/06/2020 00:00	235
18/06/2020 00:00	235.94
19/06/2020 00:00	238.38
22/06/2020 00:00	239.22
23/06/2020 00:00	241.36
24/06/2020 00:00	241.31
25/06/2020 00:00	234.5
26/06/2020 00:00	232.64
29/06/2020 00:00	209.64
30/06/2020 00:00	220.6
01/07/2020 00:00	228.54
02/07/2020 00:00	239
06/07/2020 00:00	234.52
07/07/2020 00:00	239.64
08/07/2020 00:00	238.08
09/07/2020 00:00	245
10/07/2020 00:00	243.69
13/07/2020 00:00	246.91
14/07/2020 00:00	236.76
15/07/2020 00:00	241.66
16/07/2020 00:00	238
17/07/2020 00:00	241.59
20/07/2020 00:00	240
21/07/2020 00:00	241.75
22/07/2020 00:00	240.26
23/07/2020 00:00	239.62
24/07/2020 00:00	230
27/07/2020 00:00	231.53
28/07/2020 00:00	234.76
29/07/2020 00:00	231.15
30/07/2020 00:00	230.08
31/07/2020 00:00	255.85
03/08/2020 00:00	252.68
04/08/2020 00:00	251.57
05/08/2020 00:00	250.19
06/08/2020 00:00	249.04
07/08/2020 00:00	264.09
10/08/2020 00:00	268
11/08/2020 00:00	260.39
12/08/2020 00:00	258.97
13/08/2020 00:00	261.68
14/08/2020 00:00	72.65
17/08/2020 00:00	262.5
18/08/2020 00:00	261.06
19/08/2020 00:00	261.39
